"v14","v15","TotalAssaults","NbrOfficers","Lat","Lon","FIPSCode","StateAbbr"
"NEW YORK                ","N Y   ",3020,37219,40.7128,-74.0059,"36","NY"
"LOS ANGELES             ","CALIF ",688,9510,34.0522,-118.2437,"06","CA"
"HOUSTON                 ","TEXAS ",1041,5310,29.7604,-95.3698,"48","TX"
"PHILADELPHIA            ","PA    ",1016,6711,39.9526,-75.1652,"42","PA"
"PHOENIX                 ","ARIZ  ",822,2375,33.4484,-112.074,"04","AZ"
"SAN DIEGO               ","CALIF ",252,2006,32.7157,-117.1611,"06","CA"
"DALLAS                  ","TEXAS ",267,2843,32.7767,-96.797,"48","TX"
"SAN ANTONIO             ","TEXAS ",19,1864,29.4241,-98.4936,"48","TX"
"DETROIT                 ","MICH  ",65,4077,42.3314,-83.0458,"26","MI"
"SAN JOSE                ","CALIF ",83,1316,37.3382,-121.8863,"06","CA"
